,year,spot_price
0,2020,0.0
1,2021,102.54965037205983
2,2022,249.40743772552594
3,2023,179.92633403141292
4,2024,90.0096116037373
5,2025,66.50865006014024
6,2026,58.61307009490014
7,2027,62.60730466555102
8,2028,54.8975030524342
9,2029,48.02370402387222
10,2030,43.657912748974745
11,2031,39.01345394589232
12,2032,39.01345394589232
13,2033,39.01345394589232
14,2034,39.01345394589232
15,2035,39.01345394589232
16,2036,39.01345394589232
17,2037,39.01345394589232
18,2038,39.01345394589232
19,2039,39.01345394589232
20,2040,39.01345394589232
