no_of_turbines,price_per_km,price_per_kw
2,10.05,1044
3,6.7,848
4,5,740
5,4,1259
6,3.35,1078
7,2.9,948
8,2.5,852
9,2.25,789
10,2.05,727
11,1.8,886
12,1.65,828
13,1.55,779
14,1.4,737
