no_of_turbines,price_per_km,price_per_kw
2,12,1227
3,6.9,991
4,5.2,850
5,4.15,1388
6,3.45,1193
7,3,1053
8,2.55,950
9,2.3,868
10,2.05,815
11,2,968
12,1.7,907
13,1.6,855
14,1.5,810
15,1.35,772
