no_of_turbines,price_per_km,price_per_kw
2,12,1267
3,6.9,1027
4,5.2,881
5,4.15,1428
6,3.45,1230
7,3,1090
8,2.55,983
9,2.3,900
10,2.05,847
11,2,1001
12,1.7,939
13,1.6,887
14,1.5,842
15,1.35,803
