no_of_turbines,price_per_km,price_per_kw
2,12,1068
3,6.9,865
4,5.2,754
5,4.15,1287
6,3.45,1102
7,3,969
8,2.55,871
9,2.3,807
10,2.05,736
11,2,894
12,1.7,836
13,1.6,787
14,1.5,744
